ID,CPU_Frequency_GHz,CPU_Cores,CPU_Brand,CPU_Generation,RAM_GB,Storage_GB,Storage_Type,GPU_Type,GPU_Model,GPU_Memory_GB,WIFI,WIFI_Standard,Bluetooth,Bluetooth_Version,Computer_Type,Operating_System,USB_3_Ports,USB_C_Ports,USB_2_Ports,Ethernet_Speed,Brand,Model,Purchase_Date,Age_Days,Condition,Price_USD,Power_Consumption_W,Weight_kg,Screen_Size_inch,Case_Type
PC-0242,5.01,10.0,Intel Core i9,7.0,4.0,512.0,SSD,Integrated,Intel Iris Xe,4GB,False,,True,5.2,Desktop,Windows 10,3.0,3.0,3.0,1Gbps,Custom Built,XPS 5082,2026-01-14,30.0,Poor,1438.0,107.0,,,Mid Tower
PC-0243,4.85,10.0,AMD Ryzen 3,10.0,32.0,1000.0,NVMe,Dedicated,NVIDIA RTX 3060,24,True,802.11n,True,5.2,Desktop,Windows 11,7.0,2.0,0.0,2.5Gbps,Custom Built,Inspiron 8478,2022-02-11,1463.0,Poor,1988.0,276.0,,,Mid Tower
PC-0244,2.62,12.0,Intel Xeon,11.0,2048.0,1000.0,SSD,Dedicated,NVIDIA RTX 3060,48,True,802.11ac,False,,Laptop,Windows 10,2.0,3.0,,1Gbps,Dell,ThinkPad 8612,2022-05-21,1364.0,Poor,13265.0,1294.0,1.5,13.3,
PC-0245,1.16,10.0,AMD Ryzen 7,11.0,256.0,2000.0,SSD,Dedicated,NVIDIA RTX 4080,4,True,802.11ac,False,,Desktop,Ubuntu 22.04,0.0,1.0,2.0,1Gbps,Dell,Vostro 6198,2025-10-10,126.0,New,3069.0,398.0,,,Full Tower
PC-0246,4.91,8.0,AMD Ryzen 5,11.0,32.0,256.0,NVMe,Dedicated,NVIDIA RTX 4080,8,True,802.11ac,False,,Laptop,Linux Server,3.0,0.0,3.0,2.5Gbps,Custom Built,Predator 9270,2024-06-27,596.0,Good,1524.0,259.0,2.3,14.0,
PC-0247,2.86,4.0,AMD Ryzen 7,8.0,8.0,1000.0,HDD,Integrated,Intel UHD,2GB,True,802.11ac,True,5.3,Gaming PC,Windows 10,5.0,2.0,0.0,2.5Gbps,Dell,ROG 9976,2022-04-25,1390.0,Like New,,84.0,,,Full Tower
PC-0248,5.06,2.0,AMD Ryzen 9,12.0,128.0,512.0,HDD,Dedicated,NVIDIA RTX 3060,16,False,,True,5.2,Laptop,Ubuntu 20.04,3.0,0.0,4.0,10Gbps,Acer,Predator 3607,2022-02-07,1467.0,Good,1550.0,279.0,1.1,15.6,
PC-0249,5.05,16.0,AMD Ryzen 3,11.0,32.0,4000.0,SSD,Dedicated,NVIDIA RTX 3060,6,True,802.11ac,True,5.3,All-in-One,Ubuntu 20.04,2.0,1.0,4.0,2.5Gbps,ASUS,Predator 8373,2025-05-26,263.0,Poor,2995.0,336.0,,15.6,
PC-0250,4.6,8.0,AMD Ryzen 3,7.0,8.0,1000.0,SSHD,Integrated,AMD Radeon Graphics,Shared,False,,True,5.0,Workstation,Windows Server,1.0,3.0,2.0,1Gbps,Custom Built,ZBook 5050,2023-07-23,936.0,New,1590.0,104.0,,,Full Tower
PC-0251,2.31,10.0,Intel Core i9,10.0,8.0,1000.0,SSD,Integrated,Intel Iris Xe,Shared,False,,True,5.1,Laptop,Ubuntu 20.04,1.0,0.0,2.0,2.5Gbps,ASUS,ZBook 9540,2023-09-25,872.0,Good,1180.0,114.0,2.3,27.0,
PC-0252,2.68,6.0,AMD EPYC,8.0,256.0,256.0,HDD,Integrated,Intel Iris Xe,4GB,False,,True,4.0,All-in-One,Ubuntu 20.04,0.0,3.0,3.0,10Gbps,Apple,Predator 4919,2022-09-16,1246.0,Good,2132.0,211.0,,27.0,
PC-0253,4.59,4.0,AMD Ryzen 5,9.0,64.0,1000.0,SSD,Dedicated,NVIDIA RTX 4080,8,True,802.11n,True,4.0,Laptop,Windows 11,5.0,1.0,2.0,10Gbps,Microsoft,ZBook 8206,2026-02-11,2.0,Like New,1616.0,262.0,2.5,13.3,
PC-0254,2.4,4.0,Intel Core i3,6.0,128.0,256.0,SSD,Dedicated,AMD Radeon RX 7900,6,False,,False,,All-in-One,Windows 11,0.0,2.0,5.0,2.5Gbps,HP,Inspiron 5681,2025-01-15,394.0,Like New,1582.0,287.0,,15.6,
PC-0255,1.79,8.0,AMD Ryzen 9,10.0,256.0,512.0,HDD,Dedicated,NVIDIA RTX 3060,48,True,802.11n,False,,Desktop,Windows 10,4.0,1.0,5.0,100Mbps,HP,EliteBook 5451,2025-04-13,306.0,New,2147.0,373.0,,,Mid Tower
PC-0256,3.38,6.0,AMD Ryzen 3,10.0,32.0,256.0,SSD,None,,,True,802.11ac,True,4.2,Desktop,Windows 11,1.0,0.0,0.0,2.5Gbps,Dell,MacBook 6238,2022-12-01,1170.0,New,1153.0,99.0,,,Small Form Factor
PC-0257,4.94,4.0,Intel Core i3,11.0,32.0,1000.0,SSHD,Integrated,Intel Iris Xe,2GB,True,802.11ax,True,4.2,All-in-One,Windows 10,0.0,0.0,0.0,100Mbps,Microsoft,Vostro 2320,2024-09-01,530.0,Good,1331.0,96.0,,17.3,
PC-0258,3.95,6.0,AMD Ryzen 3,11.0,32.0,256.0,SSD,Dedicated,NVIDIA RTX 4080,16,True,802.11ac,True,5.0,Laptop,Ubuntu 20.04,4.0,0.0,0.0,1Gbps,MSI,ThinkPad 3471,2024-09-03,528.0,Good,1199.0,249.0,1.9,14.0,
PC-0259,3.44,2.0,Intel Core i9,12.0,16.0,512.0,SSD,Dedicated,AMD Radeon RX 7900,8,True,802.11ac,True,4.2,All-in-One,Windows 11,5.0,3.0,5.0,100Mbps,Dell,EliteBook 7275,2022-06-22,1332.0,New,1131.0,223.0,,17.3,
PC-0260,1.5,8.0,AMD Ryzen 9,8.0,32.0,4000.0,SSD,Integrated,Intel UHD,Shared,True,802.11ac,False,,Mini PC,Ubuntu 20.04,6.0,2.0,3.0,10Gbps,MSI,ThinkPad 4505,2023-06-24,965.0,Poor,2040.0,146.0,,,
PC-0261,3.62,4.0,Intel Core i5,7.0,128.0,256.0,HDD,None,,,True,802.11n,False,,Desktop,Windows 10,3.0,0.0,3.0,1Gbps,Lenovo,Inspiron 7797,2024-04-13,671.0,Good,1764.0,137.0,,,Full Tower
PC-0262,5.16,10.0,AMD Ryzen 9,12.0,64.0,1000.0,NVMe,Integrated,Intel Iris Xe,Shared,True,802.11n,True,4.0,Laptop,Windows Server,0.0,0.0,2.0,2.5Gbps,Microsoft,ROG 6421,2022-05-21,1364.0,Good,2130.0,142.0,2.9,21.5,
PC-0263,1.67,4.0,AMD Ryzen 5,8.0,256.0,512.0,SSD,Dedicated,NVIDIA GTX 1650,8,True,802.11ac,True,5.3,Laptop,Fedora,4.0,0.0,3.0,1Gbps,HP,Vostro 8633,2025-02-26,352.0,Like New,2099.0,353.0,1.3,16.0,
PC-0264,3.23,6.0,Intel Core i3,14.0,32.0,128.0,SSD,Dedicated,NVIDIA A6000,12,True,802.11n,True,4.0,Laptop,Windows 10,1.0,1.0,0.0,100Mbps,MSI,ROG 2020,2023-11-26,810.0,Good,1292.0,247.0,3.2,14.0,
PC-0265,4.7,2.0,AMD EPYC,12.0,64.0,2000.0,SSD,Dedicated,NVIDIA RTX 3060,6,False,,True,5.2,Server,Windows 11,7.0,0.0,1.0,1Gbps,Acer,EliteBook 7883,2025-07-19,209.0,Like New,1916.0,362.0,,,
PC-0266,4.14,2.0,AMD Ryzen 3,10.0,64.0,128.0,SSD,Dedicated,NVIDIA RTX 3060,6,True,802.11n,True,4.2,Desktop,Ubuntu 22.04,3.0,,0.0,1Gbps,Dell,ROG 1320,2023-07-01,958.0,Good,1325.0,243.0,,,Mini Tower
PC-0267,3.96,6.0,Intel Core i7,14.0,32.0,512.0,SSD,Integrated,Intel UHD,4GB,True,802.11ax,False,,Laptop,Windows 10,0.0,0.0,5.0,2.5Gbps,Custom Built,ROG 8814,2025-07-23,205.0,Good,1310.0,101.0,3.4,24.0,
PC-0268,3.98,6.0,AMD Ryzen 3,7.0,64.0,1000.0,HDD,Dedicated,NVIDIA A6000,6,True,802.11a/b/g,True,5.3,Workstation,Windows 11,1.0,1.0,1.0,100Mbps,Dell,XPS 6763,2024-05-29,625.0,New,1731.0,272.0,,,Mid Tower
PC-0269,2.57,8.0,AMD Ryzen 9,9.0,16.0,1000.0,NVMe,Integrated,Intel UHD,Shared,True,802.11ac,True,5.3,Desktop,Windows 11,6.0,3.0,2.0,1Gbps,Acer,ZBook 7389,2024-02-23,721.0,Poor,1489.0,108.0,,,Mid Tower
PC-0270,2.3,4.0,Intel Core i7,11.0,32.0,1000.0,NVMe,Dedicated,NVIDIA RTX 3060,6,True,802.11ac,True,5.1,Server,Windows Server,3.0,3.0,4.0,1Gbps,MSI,ROG 9818,2024-05-18,636.0,Good,1056.0,346.0,,,
PC-0271,4.42,8.0,Intel Core i5,9.0,8.0,512.0,SSD,Dedicated,NVIDIA RTX 3060,6,True,802.11ac,False,,Laptop,Fedora,2.0,1.0,3.0,None,Acer,Vostro 4613,2023-04-11,1039.0,Like New,1278.0,249.0,1.0,21.5,
PC-0272,4.42,12.0,Intel Core i5,13.0,32.0,128.0,SSHD,Dedicated,AMD Radeon RX 6600,16,False,,True,5.1,Mini PC,Ubuntu 20.04,1.0,2.0,3.0,1Gbps,Dell,Predator 4595,2023-10-09,858.0,Poor,1814.0,277.0,,,
PC-0273,4.65,10.0,Intel Core i7,7.0,32.0,2000.0,HDD,Integrated,Intel Iris Xe,Shared,True,802.11ac,True,4.0,Laptop,Ubuntu 20.04,2.0,2.0,5.0,1Gbps,Microsoft,ZBook 8140,2022-02-22,1452.0,Like New,2202.0,136.0,3.1,16.0,
PC-0274,4.84,2.0,AMD Ryzen 7,10.0,64.0,1000.0,SSD,Dedicated,AMD Radeon RX 7900,48,True,802.11ac,True,5.3,Desktop,Windows Server,5.0,1.0,0.0,1Gbps,HP,Predator 1475,2024-10-25,476.0,Good,1504.0,252.0,,,Full Tower
PC-0275,3.2,6.0,AMD Ryzen 3,11.0,512.0,2000.0,SSD,Dedicated,NVIDIA GTX 1650,6,True,802.11ac,True,5.3,Laptop,Windows Server,0.0,3.0,0.0,1Gbps,Acer,ROG 6507,2025-04-21,298.0,Good,3963.0,506.0,2.3,15.6,
PC-0276,3.16,4.0,Intel Core i5,11.0,64.0,2000.0,SSD,Dedicated,NVIDIA RTX 3060,4,False,,True,5.3,Desktop,Linux Server,6.0,1.0,1.0,1Gbps,Samsung,ROG 3704,2024-08-05,557.0,New,1527.0,272.0,,,Mini Tower
PC-0277,4.37,4.0,Intel Core i5,9.0,64.0,2000.0,SSD,Integrated,Intel UHD,Shared,True,802.11ax,True,5.1,Gaming PC,Windows 10,4.0,2.0,3.0,10Gbps,Microsoft,Predator 3091,2023-01-22,1118.0,Poor,1776.0,122.0,,,Mid Tower
PC-0278,3.76,32.0,Intel Core i7,9.0,32.0,512.0,SSD,Integrated,Intel Iris Xe,Shared,True,802.11ax,True,5.0,Desktop,Windows 10,0.0,1.0,5.0,2.5Gbps,ASUS,Vostro 1441,2025-10-29,107.0,Good,3038.0,231.0,,,Mid Tower
PC-0279,3.98,4.0,Intel Xeon,12.0,64.0,512.0,HDD,Integrated,Intel Iris Xe,4GB,True,802.11n,False,,Server,macOS Monterey,1.0,3.0,2.0,1Gbps,HP,ROG 1444,2022-03-03,1443.0,Like New,1267.0,207.0,,,
PC-0280,4.36,6.0,Intel Core i7,8.0,8.0,2000.0,SSD,Dedicated,NVIDIA GTX 1650,12,True,802.11n,True,5.3,Laptop,Ubuntu 20.04,2.0,2.0,0.0,1Gbps,Samsung,Inspiron 8022,2022-07-22,1302.0,Poor,1550.0,254.0,2.2,17.3,
PC-0281,4.75,8.0,AMD EPYC,12.0,16.0,512.0,HDD,Dedicated,NVIDIA GTX 1650,4,True,802.11ax,True,5.0,Laptop,Windows 10,7.0,2.0,3.0,1Gbps,HP,ThinkPad 8564,2025-10-08,128.0,Good,1634.0,253.0,1.6,14.0,
PC-0282,2.49,10.0,AMD Ryzen 3,10.0,32.0,256.0,NVMe,None,,,True,802.11ac,False,,Desktop,Windows 10,2.0,0.0,4.0,None,Dell,ThinkPad 1823,2024-11-11,459.0,Good,1286.0,119.0,,,Mini Tower
PC-0283,2.64,8.0,Intel Core i5,12.0,32.0,4000.0,HDD,Integrated,Intel Iris Xe,Shared,True,802.11ac,True,5.1,Laptop,Fedora,3.0,0.0,5.0,1Gbps,Custom Built,ZBook 7211,2026-01-06,38.0,Fair,2215.0,146.0,2.1,14.0,
PC-0284,1.49,2.0,AMD Ryzen 9,11.0,4.0,4000.0,HDD,Integrated,Intel UHD,Shared,True,802.11ac,True,4.0,Laptop,Fedora,0.0,2.0,1.0,1Gbps,ASUS,MacBook 4467,2025-07-30,198.0,Like New,1428.0,102.0,3.4,15.6,
PC-0285,3.47,,AMD Ryzen 3,8.0,8.0,512.0,SSD,Dedicated,NVIDIA RTX 4080,16,True,802.11n,False,,Desktop,Windows 11,0.0,2.0,0.0,1Gbps,Dell,Predator 6355,2025-02-21,357.0,New,1152.0,,,,Mid Tower
PC-0286,1.25,8.0,AMD Ryzen 7,10.0,16.0,128.0,SSD,Dedicated,NVIDIA GTX 1650,12,True,802.11ac,True,5.3,Mini PC,Fedora,1.0,1.0,,10Gbps,ASUS,MacBook 7211,2026-02-06,7.0,New,1153.0,249.0,,,
PC-0287,3.01,2.0,AMD EPYC,12.0,1024.0,512.0,NVMe,Dedicated,NVIDIA GTX 1650,12,True,802.11ac,True,4.2,Laptop,Ubuntu 22.04,7.0,3.0,2.0,10Gbps,Dell,ZBook 7906,2022-05-29,1356.0,Fair,6056.0,727.0,1.5,27.0,
PC-0288,3.32,6.0,Intel Core i3,10.0,16.0,2000.0,SSD,Dedicated,NVIDIA RTX 3060,12,True,802.11n,True,4.2,Laptop,Debian,2.0,2.0,0.0,100Mbps,Dell,ZBook 2341,2024-09-12,519.0,Like New,1669.0,258.0,1.4,17.3,
PC-0289,2.27,2.0,Intel Core i3,14.0,32.0,,SSD,Integrated,AMD Radeon Graphics,4GB,False,,True,5.1,Laptop,Windows 11,1.0,3.0,5.0,1Gbps,Dell,Predator 1317,2025-08-03,194.0,Like New,1917.0,116.0,1.6,16.0,
PC-0290,3.52,2.0,AMD Ryzen 7,10.0,16.0,256.0,NVMe,Dedicated,NVIDIA GTX 1650,24,False,,True,5.2,Desktop,Windows 10,1.0,2.0,3.0,None,MSI,Vostro 1853,2025-04-03,316.0,Like New,1073.0,221.0,,,Full Tower
PC-0291,1.23,6.0,Intel Core i7,8.0,64.0,128.0,SSD,Dedicated,NVIDIA GTX 1650,48,True,802.11ac,False,,Mini PC,Windows 11,5.0,3.0,3.0,1Gbps,MSI,MacBook 4673,2023-04-25,1025.0,Like New,1121.0,263.0,,,
PC-0292,1.25,4.0,Intel Core i5,9.0,16.0,4000.0,HDD,Integrated,Intel UHD,Shared,True,802.11ax,True,5.1,Laptop,Windows 11,2.0,0.0,3.0,100Mbps,ASUS,Inspiron 1659,2023-02-23,1086.0,Good,1610.0,118.0,2.4,15.6,
PC-0293,4.47,8.0,Intel Core i3,14.0,16.0,512.0,SSD,Integrated,Intel UHD,Shared,True,802.11ac,True,4.2,Desktop,Ubuntu 20.04,1.0,2.0,4.0,10Gbps,HP,XPS 5051,2025-03-07,343.0,Poor,1352.0,103.0,,,Mid Tower
PC-0294,2.58,8.0,Intel Core i3,9.0,32.0,1000.0,NVMe,Integrated,Intel Iris Xe,4GB,True,802.11n,False,,Laptop,Windows 10,2.0,1.0,4.0,2.5Gbps,MSI,EliteBook 1333,2024-06-22,601.0,Like New,1330.0,116.0,3.3,14.0,
PC-0295,1.62,12.0,AMD Ryzen 7,,4.0,8000.0,SSD,Integrated,Intel Iris Xe,2GB,True,802.11ac,True,4.0,Laptop,Linux Server,1.0,3.0,0.0,None,Lenovo,ThinkPad 4908,2023-04-08,1042.0,Like New,2847.0,192.0,2.4,21.5,
PC-0296,3.24,4.0,Intel Core i5,13.0,,128.0,HDD,Dedicated,AMD Radeon RX 6600,8,False,,True,5.2,Laptop,Windows 10,7.0,2.0,4.0,2.5Gbps,Apple,ThinkPad 8758,2024-06-03,620.0,Fair,849.0,223.0,1.6,15.6,
PC-0297,4.26,4.0,AMD Ryzen 3,9.0,16.0,1000.0,HDD,Integrated,Intel UHD,Shared,True,802.11ax,True,5.3,Workstation,Windows 10,4.0,0.0,4.0,1Gbps,Custom Built,Inspiron 4571,2022-04-20,1395.0,Like New,1382.0,88.0,,,Mid Tower
PC-0298,1.98,4.0,AMD Ryzen 5,7.0,4.0,128.0,HDD,Integrated,Intel UHD,Shared,True,802.11ax,True,5.2,Desktop,Ubuntu 20.04,7.0,0.0,2.0,1Gbps,Apple,Predator 5198,2023-11-14,822.0,Poor,826.0,73.0,,,Mid Tower
PC-0299,3.65,8.0,Intel Core i9,11.0,8.0,512.0,SSD,Integrated,Intel UHD,Shared,True,802.11ac,True,5.0,Desktop,Ubuntu 20.04,7.0,0.0,4.0,1Gbps,Acer,MacBook 3749,2025-06-23,235.0,Good,1453.0,99.0,,,Mid Tower
PC-0300,1.45,10.0,Intel Core i3,9.0,16.0,2000.0,SSD,Dedicated,NVIDIA GTX 1650,24,True,802.11n,True,5.3,Server,Windows 11,1.0,0.0,1.0,1Gbps,Microsoft,Inspiron 3683,2023-02-16,1093.0,Like New,1669.0,378.0,,,
PC-0301,1.31,2.0,AMD Ryzen 7,12.0,128.0,512.0,HDD,Integrated,Intel UHD,Shared,True,802.11ax,False,,Desktop,macOS Ventura,7.0,2.0,1.0,2.5Gbps,Apple,ZBook 2771,2024-11-23,447.0,Poor,1289.0,129.0,,,Mid Tower
PC-0302,3.28,24.0,Intel Core i3,10.0,32.0,8000.0,NVMe,Dedicated,NVIDIA RTX 4080,12,True,802.11ac,False,,All-in-One,Ubuntu 20.04,7.0,1.0,1.0,2.5Gbps,ASUS,XPS 6111,2024-06-13,610.0,Like New,3795.0,416.0,,17.3,
PC-0303,3.32,2.0,AMD Ryzen 7,10.0,32.0,1000.0,NVMe,Integrated,Intel UHD,Shared,True,802.11a/b/g,False,,Desktop,Ubuntu 22.04,7.0,3.0,0.0,1Gbps,ASUS,ROG 7498,2026-02-05,8.0,Like New,1251.0,86.0,,,Mini Tower
PC-0304,3.71,8.0,AMD Ryzen 9,12.0,16.0,512.0,SSD,Integrated,Intel UHD,Shared,False,,False,,Server,macOS Monterey,1.0,1.0,3.0,2.5Gbps,HP,EliteBook 2245,2024-11-08,462.0,New,1201.0,203.0,,,
PC-0305,4.08,10.0,Intel Core i9,9.0,512.0,256.0,NVMe,Integrated,Intel UHD,Shared,True,802.11ac,True,5.0,Laptop,Windows 10,6.0,3.0,2.0,10Gbps,MSI,EliteBook 2669,2023-05-20,1000.0,Poor,3505.0,359.0,2.1,15.6,
PC-0306,5.1,12.0,AMD Ryzen 3,10.0,32.0,512.0,HDD,Integrated,Intel Iris Xe,Shared,False,,True,5.1,Laptop,Ubuntu 20.04,4.0,1.0,0.0,1Gbps,MSI,ZBook 2983,2022-06-19,1335.0,Fair,1950.0,131.0,2.0,17.3,
PC-0307,3.22,10.0,AMD Ryzen 3,9.0,8.0,512.0,SSD,Integrated,Intel UHD,Shared,False,,False,,Desktop,Fedora,0.0,2.0,3.0,100Mbps,HP,XPS 6688,2025-10-02,134.0,Like New,1190.0,109.0,,,Mini Tower
PC-0308,2.42,12.0,Intel Core i9,9.0,64.0,128.0,SSD,Integrated,AMD Radeon Graphics,Shared,True,802.11ac,True,5.0,Desktop,Windows 10,2.0,2.0,2.0,2.5Gbps,Dell,Vostro 8018,2025-01-24,385.0,Fair,1777.0,143.0,,,Full Tower
PC-0309,4.36,4.0,AMD Ryzen 9,10.0,8.0,512.0,NVMe,Dedicated,AMD Radeon RX 6600,16,True,802.11ac,False,,Desktop,Windows 11,6.0,3.0,2.0,10Gbps,Microsoft,MacBook 2129,2025-12-19,56.0,Good,1290.0,229.0,,,Mid Tower
PC-0310,2.21,12.0,AMD Ryzen 9,12.0,16.0,512.0,NVMe,Dedicated,NVIDIA RTX 3060,8,True,802.11n,True,5.0,Desktop,Windows Server,3.0,2.0,2.0,100Mbps,ASUS,Vostro 6590,2023-05-27,993.0,Like New,1390.0,273.0,,,Full Tower
PC-0311,2.9,2.0,Intel Core i7,9.0,32.0,2000.0,HDD,Integrated,Intel UHD,Shared,False,,True,5.2,Laptop,Windows 11,4.0,3.0,1.0,1Gbps,HP,XPS 7882,2022-05-01,1384.0,Good,1445.0,96.0,1.1,21.5,
PC-0312,1.42,16.0,AMD Ryzen 5,10.0,256.0,1000.0,NVMe,Integrated,Intel UHD,Shared,True,802.11ac,True,5.1,Laptop,Windows 11,6.0,1.0,1.0,100Mbps,HP,Predator 2729,2023-01-02,1138.0,Good,2782.0,268.0,2.3,15.6,
PC-0313,1.2,8.0,Intel Xeon,11.0,32.0,2000.0,HDD,None,,,True,802.11ax,False,,Laptop,Linux Server,7.0,2.0,1.0,2.5Gbps,ASUS,ROG 6934,2023-01-28,1112.0,Good,1620.0,126.0,1.3,13.3,
PC-0314,5.05,12.0,AMD EPYC,9.0,64.0,128.0,NVMe,Dedicated,NVIDIA GTX 1650,12,True,802.11ax,True,5.0,Server,Windows 10,0.0,2.0,2.0,10Gbps,Dell,Predator 3506,2025-09-28,138.0,New,2049.0,393.0,,,
PC-0315,4.53,6.0,AMD Ryzen 3,9.0,2048.0,256.0,SSHD,Integrated,AMD Radeon Graphics,Shared,True,802.11ax,True,5.0,Workstation,Windows 10,1.0,3.0,5.0,1Gbps,Dell,ROG 3885,2023-01-08,1132.0,New,10509.0,1107.0,,,Mid Tower
PC-0316,3.95,8.0,AMD Ryzen 3,13.0,8.0,1000.0,HDD,Dedicated,AMD Radeon RX 7900,48,False,,True,4.0,Laptop,Fedora,5.0,3.0,2.0,1Gbps,Samsung,Vostro 5425,2024-08-27,535.0,Fair,1451.0,254.0,3.1,14.0,
PC-0317,2.78,8.0,Intel Core i7,11.0,16.0,512.0,NVMe,Dedicated,NVIDIA A6000,16,True,802.11ax,True,5.1,Laptop,Fedora,0.0,3.0,1.0,10Gbps,MSI,Vostro 8921,2025-09-22,144.0,Fair,1305.0,253.0,2.4,24.0,
PC-0318,1.81,10.0,AMD EPYC,10.0,32.0,128.0,HDD,Dedicated,NVIDIA RTX 3060,4,True,802.11a/b/g,False,,Laptop,Windows 11,4.0,3.0,2.0,100Mbps,Lenovo,Predator 8136,2023-09-28,869.0,Good,1068.0,267.0,3.1,16.0,
PC-0319,1.74,2.0,Intel Core i5,11.0,32.0,2000.0,SSD,Integrated,Intel Iris Xe,Shared,True,802.11ac,True,4.2,Laptop,Ubuntu 20.04,,0.0,1.0,2.5Gbps,Dell,ZBook 6280,2024-04-28,656.0,Fair,1396.0,96.0,3.4,16.0,
PC-0320,2.13,2.0,AMD Ryzen 5,6.0,32.0,2000.0,SSD,Integrated,AMD Radeon Graphics,4GB,False,,True,4.2,Server,Debian,1.0,3.0,1.0,1Gbps,Apple,EliteBook 2419,2025-12-19,56.0,Good,1214.0,196.0,,,
PC-0321,3.35,4.0,Intel Core i7,11.0,256.0,1000.0,SSD,Integrated,Intel Iris Xe,Shared,True,802.11ac,True,5.1,Desktop,macOS Ventura,0.0,0.0,1.0,1Gbps,HP,ZBook 8385,2024-06-03,620.0,Fair,2480.0,208.0,,,Mini Tower
PC-0322,4.03,4.0,Intel Core i7,10.0,64.0,128.0,NVMe,Dedicated,NVIDIA GTX 1650,4,True,802.11ax,True,5.1,Desktop,Windows 11,3.0,1.0,5.0,1Gbps,Lenovo,EliteBook 8613,2023-04-20,1030.0,New,1230.0,253.0,,,Full Tower
PC-0323,3.81,12.0,Intel Core i9,10.0,64.0,2000.0,SSD,Dedicated,NVIDIA RTX 3060,12,True,802.11ac,True,5.2,Workstation,Windows 10,2.0,3.0,3.0,1Gbps,HP,ROG 6511,2024-08-20,542.0,Like New,2206.0,312.0,,,Mini Tower
PC-0324,2.25,4.0,AMD EPYC,9.0,16.0,1000.0,SSD,Integrated,AMD Radeon Graphics,Shared,True,802.11ax,True,5.1,Desktop,Windows 11,2.0,0.0,2.0,10Gbps,HP,XPS 9098,2024-11-23,447.0,Good,1189.0,88.0,,,Small Form Factor
PC-0325,5.01,32.0,Intel Core i3,7.0,128.0,2000.0,NVMe,Dedicated,AMD Radeon RX 7900,12,True,802.11ac,True,5.3,All-in-One,Fedora,4.0,0.0,0.0,10Gbps,Lenovo,MacBook 3979,2022-04-06,1409.0,Like New,3739.0,444.0,,14.0,
PC-0326,4.13,4.0,AMD Ryzen 5,8.0,512.0,2000.0,SSHD,Dedicated,AMD Radeon RX 6600,6,True,802.11ax,False,,All-in-One,Fedora,6.0,0.0,1.0,2.5Gbps,Microsoft,Predator 4475,2022-06-23,1331.0,Good,4424.0,496.0,,16.0,
PC-0327,3.37,4.0,Intel Core i3,14.0,128.0,2000.0,HDD,None,,,True,802.11n,True,5.3,Desktop,Linux Server,1.0,2.0,5.0,100Mbps,HP,MacBook 5232,2023-09-23,874.0,Poor,2140.0,154.0,,,Mini Tower
PC-0328,3.61,10.0,Intel Core i5,10.0,4.0,1000.0,SSHD,Dedicated,AMD Radeon RX 7900,12,True,802.11n,True,5.2,Desktop,Fedora,1.0,0.0,0.0,1Gbps,Lenovo,MacBook 5581,2024-05-15,639.0,Like New,1375.0,262.0,,,Mid Tower
PC-0329,2.82,,Intel Core i9,10.0,64.0,256.0,HDD,None,,,True,802.11ax,True,5.1,Laptop,Ubuntu 22.04,2.0,3.0,3.0,1Gbps,Lenovo,ZBook 1166,2022-06-28,1326.0,Poor,1431.0,125.0,3.4,16.0,
PC-0330,2.12,6.0,AMD Ryzen 3,7.0,8.0,1000.0,NVMe,Integrated,Intel UHD,Shared,True,802.11a/b/g,True,5.0,Laptop,Windows 11,0.0,3.0,2.0,10Gbps,Apple,Vostro 4130,2022-03-17,1429.0,Good,1027.0,94.0,1.3,,
PC-0331,2.56,8.0,Intel Core i7,6.0,16.0,1000.0,HDD,Dedicated,AMD Radeon RX 7900,4,True,802.11ax,True,5.3,Desktop,macOS Ventura,1.0,3.0,5.0,1Gbps,Samsung,Inspiron 4954,2024-06-12,611.0,Good,1160.0,258.0,,,Mini Tower
PC-0332,4.21,10.0,Intel Core i7,11.0,8.0,2000.0,HDD,Dedicated,NVIDIA RTX 3060,8,False,,True,5.0,Workstation,macOS Ventura,3.0,0.0,1.0,10Gbps,Lenovo,ROG 9004,2023-10-30,837.0,Good,1540.0,274.0,,,Small Form Factor
PC-0333,1.16,4.0,Intel Core i3,10.0,64.0,256.0,SSD,Integrated,Intel Iris Xe,2GB,False,,True,4.2,Laptop,Ubuntu 20.04,3.0,0.0,1.0,10Gbps,Samsung,Vostro 4937,2023-12-26,780.0,Like New,1185.0,105.0,3.4,27.0,
PC-0334,1.58,64.0,Intel Core i7,10.0,64.0,256.0,SSD,Integrated,Intel UHD,Shared,True,802.11a/b/g,True,5.0,Laptop,Windows 10,1.0,2.0,1.0,1Gbps,Dell,Predator 9041,2023-10-30,837.0,Like New,4858.0,405.0,3.0,15.6,
PC-0335,1.29,32.0,AMD EPYC,8.0,8.0,4000.0,SSD,None,,,True,802.11ac,True,4.0,Desktop,Windows Server,1.0,1.0,5.0,2.5Gbps,Custom Built,Predator 1282,2024-09-21,510.0,Good,2696.0,254.0,,,Small Form Factor
PC-0336,1.27,8.0,Intel Xeon,11.0,32.0,2000.0,HDD,Integrated,AMD Radeon Graphics,2GB,True,802.11ac,True,5.3,Server,Windows 11,2.0,2.0,0.0,10Gbps,HP,Inspiron 5820,2023-02-12,1097.0,Poor,1423.0,226.0,,,
