name,platform,release_date,summary,meta_score,user_review,release_year,user_review_count
SUPERHOT VR, PC,2016-12-05,"After years of experiments and iterations, the team behind the critically acclaimed, violently beautiful time-bending shooter SUPERHOT is ready to unveil it’s newest creation. SUPERHOT VR is a title reimagined and redesigned from the ground up for VR and hand tracking controllers.",83,73.0,2016,3658
DmC: Devil May Cry Definitive Edition, PlayStation 4,2015-03-10,"The definitive edition of this action game arrives with enhanced 1080p graphics at 60fps, new features and all the original DLC included. Chain together stylish combos with up to 8 unique weapons. Traverse the demonic world of Limbo as you join Dante and Vergil in the legendary rebirth of the Devil May Cry franchise.",83,75.0,2015,4861
Disgaea 1 Complete, PlayStation 4,2018-10-09,"The Overlord is dead. The Netherworld is in turmoil. Time to kick some ass! Netherworld Prince Laharl awakens to fight for his throne and it's up to him and some unlikely allies to defend what is rightfully his. Together with his devious vassal Etna, the angel trainee Flonne, and a whole cavalcade of explosive characters, Laharl will slash, shoot, and punch his way to the top. Build your squad to level 9999 and unleash crazy special skills, team attacks, and spells to deal millions of points of damage in this zany high-definition remake of an RPG classic.",83,75.0,2018,3274
Pro Evolution Soccer 2018, PlayStation 4,2017-09-12,"Real Touch+ adds a new dimension to ball control, with full body touch allowing various parts of the body to control the ball based on the unpredictability of the ball movement. Set pieces have been reworked with a new Free Kick and Penalty Kick system, alongside the option to choose the new one player kick off. A new mode dedicated to 2v2 and 3v3 co-op play, with support for local guests. Play together with friends, take your team to the top or simply have some fun via one-off casual matches. Compete in PES League in new modes including myClub, Random Selection Match and Online co-op. [Konami]",83,73.0,2017,1978
Grim Dawn, PC,2016-02-25,"Players are thrust into the dark, war-torn world of Cairn where a once proud empire has been brought to ruin and the human race driven to the edge of extinction. Cairn has become ground zero of an eternal war between two otherworldly powers, one seeking to use human bodies as a resource, the other intent upon destroying the human race before that can happen. This cataclysmic war has not only decimated human civilization but is warping the very fabric of reality and, in its wake, giving life to new horrors.",83,84.0,2016,1396
Subnautica: Below Zero, Xbox Series X,2021-05-14,"Below Zero is an underwater adventure game set on an alien ocean world. It is a new chapter in the Subnautica universe and developed by Unknown Worlds. Return to planet 4546B. Dive into a freezing underwater adventure. Below Zero is set in an arctic region of planet 4546B. As a scientist posted to a research station on the planet's surface, you are tasked with studying alien artifacts... The Vesper space station orbits high above you, sending supplies, instructions, and receiving samples you launch from the surface.When disaster strikes the research station, you must improvise to survive: Construct habitats, scavenge for resources, hunt for food, and craft equipment.",83,72.0,2021,4907
Call of Duty: Black Ops 4, PlayStation 4,2018-10-12,"Black Ops returns - in your face. Featuring gritty, grounded, fluid Multiplayer combat, a massive Zombies offering with 3 full undead adventures at launch, and Blackout, where the universe of Black Ops comes to life in one huge battle royale experience featuring the largest map in Call of Duty history, signature Black Ops combat, characters, locations and weapons from the entire Black Ops series. Soldier up for all-out combat – tailor made for the Black Ops community. [Treyarch]",83,40.0,2018,1308
Super Puzzle Fighter II Turbo, PlayStation,1996-11-30,"Burst right into the feverish puzzle action that combines irresistible, addictive fun with famous Capcom characters. Beat your opponent to the punch by stacking block after block in strategic patterns and color combinations. Be the first to fill the opponent's screen with blocks and K.O. you win! But get ready for more, because you can't play just once.",83,85.0,1996,3538
NieR Replicant ver.1.22474487139..., Xbox One,2021-04-23,"Get ready to experience where the NieR series all began - NieR Replicant ver.1.22474487139...Set in a post-apocalyptic world, NieR Replicant ver.1.22474487139 is puts you in the role of the titular Nier, a young man on a quest to cure his sister Yonah of a deadly disease. What they discover will make them question everything they thought they knew The original NieR release has an interesting history. In Japan, there were two versions of the game: NieR Replicant and NieR Gestalt. NieR Replicant focused on Brother Nier and his sister Yonah. In NieR Gestalt, the main character was Father Nier, and Yonah his daughter. Only NieR Gestalt released in the West (under the name NIER) - so excitingly, this will be the first time many people will have played the Replicant version of the game.",83,79.0,2021,2289
Battlefield 1943, Xbox 360,2009-07-08,"[Xbox Live Arcade] Using the Frostbite engine, Battlefield 1943 takes players back to WWII. The game offers hours of 24 player multiplayer action over three classic and tropic locations; Wake Island, Guadalcanal and Iwo Jima. Delivering the award-winning through-the-gun and vehicle warfare online experience DICE is best recognized for, Battlefield 1943 has players battling in ruthless aerial dog fights and intense trench combat. [Electronic Arts]",83,79.0,2009,1745
BlazBlue: Chrono Phantasma, PlayStation 3,2014-03-25,"With the Cauldron shattered and the cycle broken, Ragna begins his final mission: Hunt down the villainous Terumi. Noel's life and the fate of the entire world hang in the balance as Ragna the Bloodedge marches toward one last confrontation. BlazBlue: Chrono Phantasma introduces a new fighting system called ""Overdrive."" With this, characters can become more powerful, possibly enough to turn the tide of battle. The fighting has also been sped up, meaning faster, more enjoyable play.",83,82.0,2014,1886
Dungeons & Dragons: Chronicles of Mystara, PlayStation 3,2013-06-18,"As the first modern role playing game, the Dungeons & Dragons franchise from Wizards of the Coast gave birth to numerous products including two arcade titles from Capcom, Dungeons & Dragons: Tower of Doom and its sequel Dungeons & Dragons: Shadow over Mystara. Both these titles are now being re-released with updated HD graphics and a wealth of other enhancements as a definitive double pack entitled Dungeons & Dragons: Chronicles of Mystara.",83,68.0,2013,2112
Ghost of Tsushima, PlayStation 4,2020-07-17,"The year is 1274. Samurai warriors are the legendary defenders of Japan -- until the fearsome Mongol Empire invades the island of Tsushima, wreaking havoc and conquering the local population. As one of the last surviving samurai, you rise from the ashes to fight back. But, honorable tactics won't lead you to victory. You must move beyond your samurai traditions to forge a new way of fighting -- the way of the Ghost -- as you wage an unconventional war for the freedom of Japan.",83,91.0,2020,563
Tetris 99, Switch,2019-02-13,"The free to download online software, Tetris® 99, is available as a special offer for Nintendo Switch Online members. In large-scale, 99-player battles, it'll take speed, skill, and strategy to knock out the competition and become the last player standing. You can target opponents by sending them Garbage Blocks, but be careful…your rivals can target you back! Defeat opponents to acquire KO badges that may give you the advantage on future attacks. Survive the onslaught and look forward to upcoming online events.",83,82.0,2019,4567
Final Fantasy XII: The Zodiac Age, PC,2018-02-01,"Enter an era of war within the world of Ivalice. The small kingdom of Dalmasca, conquered by the Archadian Empire, is left in ruin and uncertainty. Princess Ashe, the one and only heir to the throne, devotes herself to the resistance to liberate her country. Vaan, a young man who lost his family in the war, dreams of flying freely in the skies. In a fight for freedom and fallen royalty, join these unlikely allies and their companions as they embark on a heroic adventure to free their homeland. Final Fantasy XII: The Zodiac Age improves upon the 2006 classic Final Fantasy XII, now more beautiful and easier to play than ever. The high-definition remaster introduces several modern advancements, including reconstructed battle design and a revamped job system. With newly implemented trophies and share functions, as well as stark visual and sound improvements in true HD for the first time, players both returning and new to the game will experience a grand adventure that spans the world of Ivalice in an entirely fresh and improved way.",83,86.0,2018,4352
Marvel Pinball, PlayStation 3,2010-12-14,"Marvel Pinball will include tables for Wolverine, Spider-Man, Iron Man, and Blade.",83,75.0,2010,510
NBA Live 2005, GameCube,2004-09-28,"Elevate your game on both ends of the court with NBA Live 2005. Create new dribble moves, flashy dunks, and tenacious defensive plays that express your individual style--all with a touch of the right analog stick. The new 10-man Freestyle implementation enhances individual player movements and floor spacing, putting you in the middle of the action. Enhanced player graphics reproduce NBA players with realistic faces, hairstyles, jerseys, and shoes. NBA Live 2005 also offers a deeper Dynasty mode, where you can watch your franchise flourish for 25 seasons.",83,71.0,2004,200
Resident Evil 0, GameCube,2002-11-10,"Before the events of Resident Evil, the residents of Raccoon City lived their lives unaware of the dark fate that surrounded them. Now, along with your S.T.A.R.S. Bravo Team, you're sent in to investigate a series of grisly murders in the area. As Rebecca Chambers, a rookie cop, or Billy Cowen, an escaped convict, you'll fight zombies, solve challenging puzzles, and slowly uncover the truth behind the murders. A new Partner Zapping System lets you quickly switch between each character.",83,86.0,2002,1185
Virtua Tennis, Game Boy Advance,2002-10-08,Virtua Tennis more than lives up to its namesake and does an ample job of compacting Sega's Tennis 2K2 into a portable format.,83,,2002,2703
Sega Sports Tennis, PlayStation 2,2002-07-31,"Choose from 16 internationally ranked men's and women's tennis players including: Venus Williams, Serena Williams, Lindsay Davenport, Magnus Norman, Patrick Rafter, Yevgeny Kafelnikov, Mary Pierce, Ai Sugiyama, Aranxta Sanchez-Vicario, Alexandra Stevenson, Carlos Moya, Tim Henman, Cedric Pioline, Tommy Haas, Thomas Enqvist, and Monica Seles. The revamped World Tour Mode lets you create and train your players, sign unique doubles partners, and enter a host of prestigious tournaments. [Sega]",83,87.0,2002,1887
MDK2, PC,2000-05-31,"Kurt Hectic is back to save the universe. This time, he is teamed with the genius Dr. Hawkins and the six-legged, gun-totin' robotic dog Max. Save the world with unique gadgets and weaponry, like the Black Hole Grenade and the Sniper shield. [Interplay]",83,77.0,2000,2207
Kid Icarus: Uprising, 3DS,2012-03-23,Kid Icarus: Uprising is the long-awaited franchise follow-up to the NES classic.,83,87.0,2012,4333
Tales of Vesperia: Definitive Edition, Switch,2019-01-11,"Tales of Vesperia: Definitive Edition celebrates the 10th anniversary of this RPG with new fully playable characters, events and other additional content never released outside of Japan. Follow Yuri Lowell, a former Imperial Knight, as he befriends a colorful cast of characters throughout the world of Terca Lumireis and finds himself in the middle of a nefarious plot that threatens the destruction of the entire planet.",83,78.0,2019,4672
Gunpoint, PC,2013-06-03,"Gunpoint is a stealth puzzle game that lets you rewire its levels to trick people. You're a freelance spy, infiltrating high security buildings with subterfuge, face-punching, and an unusual type of electronic sabotage. You can cross-link things like light switches and doors so that the guards unwittingly take out their own security systems, their colleagues, and even themselves. It's pretty funny.",83,84.0,2013,1890
Detention, PC,2017-01-12,"Detention is a survival horror game set in 1960s Taiwan under martial law. Incorporated religious elements based in Taiwanese/Chinese culture and mythology, the game provided players with unique graphics and gaming experience.",83,78.0,2017,2856
Sly 3: Honor Among Thieves, PlayStation 2,2005-09-26,"Sly 3: Honor Among Thieves entices a broad range of players with multiple tiers of gameplay to reach both the hard core and gaming novice, drawing players immediately into the devious adventures of Sly and his crew by offering a unique cast of playable characters, a challenging dual analog stick multiplayer mode, new vehicles, mini-games, disguises, enhanced combat move sets and much more. Players hungry for a more in-depth gameplay experience have the opportunity to replay missions by utilizing the time machine feature, thus providing an opportunity to sneak around an environment again using alternative moves and disguises in order to achieve even higher Master Thief ratings. In the new multiplayer mode, players play head-to-head and experience cooperative missions or replay mini-games together. The story line for Sly 3: Honor Among Thieves begins with Sly and his crew in disarray and struggling some setbacks. Bentley was crippled in the final battle with Clockwerk at the end of ""Sly 2: Band of Thieves"" and confined to a wheelchair, and Murray, feeling responsible for Bentley's tragic accident, has quit the team and chosen a path of non-violence and solace. Meanwhile, Sly learns of a secret family fortress that houses the amassed Cooper family fortune. Upon arriving at this hidden location, Sly discovers another enemy group attempting to steal the Cooper fortune. Sly and Bentley quickly realize they will need considerable help to defeat this new rival. Their recruiting starts with Murray, and once back on-board, Sly, Murray and Bentley set out to enlist some new and familiar faces in an effort to pull off a World Class heist. [SCEA]",83,89.0,2005,4370
Spiritfarer, Switch,2020-08-18,"A cozy management game about dying. What will you leave behind? Play as Stella, ferrymaster to the deceased, a Spiritfarer. Build a boat to explore the world, then befriend and care for spirits before finally releasing them into the afterlife. A unique, endlessly varied adventure! Farm, mine, fish, harvest, cook, and craft your way across mystical seas. Unwind for hours into cozy and relaxing gameplay. Join the adventure as Daffodil the cat, in two-player cooperative play. Learn how to say goodbye. Experience moving, emotional stories filled with unforgettable moments. Spend relaxing quality time with your spirit passengers, create lasting memories, and, ultimately, learn how to say goodbye to your cherished friends. What will you leave behind?",83,82.0,2020,3433
Bloodstained: Ritual of the Night, PC,2019-06-18,"You are Miriam, an orphan scarred by an alchemist curse which slowly crystallizes your skin. You must battle your way through a demon-filled castle summoned by Gebel, your old friend whose body has become more crystal than flesh. * Exploration: Bloodstained's story unfolds as you explore Gebel's hellish castle; a sprawling structure that features a variety of locations. As you explore the massive castle you'll find warp gates that will allow you to travel quickly without having to backtrack too much. * RPG Elements: It's not an Igavania without leveling, and Bloodstained will be no exception. In addition to the classic elements everyones come to expect, enemies in Bloodstained will drop a wide variety of items, materials, and magi-crystals necessary to create the items that will get you safely through Gebels castle. * Crafting: As you explore, fight enemies, and complete quests you will gain experience and become more powerful, acquiring a variety of weapons along the way. Enemies will also drop materials you can use to craft new weapons and abilities using Miriam's training in alchemy.",83,83.0,2019,4864
Hakuoki: Kyoto Winds, PlayStation Vita,2017-05-16,"The remastered telling of the visual novel Hakuoki focuses on the story set in Kyoto. The young Chizuru, determined to find her father, will romance the famous samurai of Shinsengumi through a series of engaging stories in this historical fantasy adventure.",83,75.0,2017,4727
NHL 2K6, Xbox,2005-09-06,"NHL 2K6 is a realistic hockey simulation in which you must take part in all aspects of running a franchise, from scheduling workouts to hitting a slap shot. The game includes revamped animations and more realistic player movement. NHL 2K6 also includes on-the-fly coaching that lets you make decisions during the game to affect your teams strategy and execution. You can even go online to challenge other gamers, track stats, or join a league.",83,75.0,2005,1322
Beyond Good & Evil, PC,2003-11-19,"The planet of Hyllis has fallen under siege by a ruthless alien race. Despite the assurances of the Alpha Section defense squad, the war drags on, terrorizing the once-beautiful planet and crushing the faith of the people. From the rubble of a tiny island rises Jade - a rebellious young action reporter left traumatized by a brutal attack. When Jade is hired by the rebel organization IRIS, she learns that the Alpha Sections are secretly trafficking humans to the enemy. Still wary of who to believe, she sets out to expose the gruesome conspiracy and bring proof to her people. Armed with her camera, dai-jo staff, and unflinching resolve, Jade plunges into a sinister web to untangle the truth and restore justice to her planet. But as she earns the trust of her beleaguered people, Jade discovers that sometimes, in order to find the truth, you must look beyond good and evil. [Ubi Soft]",83,86.0,2003,915
LocoRoco, PSP,2006-09-05,"LocoRoco is an innovative 2D platform/action game available exclusively for the PSP. Featuring unique controls utilizing the ""L"" and ""R"" shoulder buttons, players are tasked with controlling via ""tilting or bumping"" the landscape of the LocoRoco in order to help them navigate through the level and keep them out of harm's way. With more than 40 stages, players control and guide the LocoRoco through vibrant, thriving and lush worlds filled with slippery slopes, swing ropes , and more. Featuring six different types of LocoRoco that include their own voices and actions, players will be enchanted by captivating music that communicates the joyous world of these LocoRoco. In addition, LocoRoco features the rewarding LocoHouse, three mini-games , and wireless features. The peaceful world of the LocoRoco are under attack by the not-so-nice Moja Corps. These evil outer space creatures want nothing but to capture the blissful LocoRoco and take them from their land of blowing flowers, lively creatures and pastel scenery. As the planet where the LocoRoco inhabit, players must tilt, roll and bounce the LocoRoco to safety. [SCEA]",83,88.0,2006,3100
The Pedestrian, PlayStation 5,2021-01-29,The Pedestrian is a 2.5D puzzle platformer themed around the public sign system. You play as a 2D character moving through signs in a dynamic 3D world. You progress through the game by rearranging and connecting public signs to explore and advance through each environment.,83,71.0,2021,231
MLB 06: The Show, PSP,2006-02-28,"MLB '06: The Show for the PSP suits up for the season with the all-new Career Mode for gamers to create a player and take them out to play anytime, anywhere, and a Season Mode that now offers multiple seasons. Users can choose their favorite team, play the regular season, advance to the playoffs, be crowned the World Series Champion and even create their own dynasty. With the new Historical Greats option, nostalgic fans of America's Pastime players can go up against baseball legends. For gamers on the go, MLB '06: The Show offers multiplayer gameplay, either locally via Ad Hoc Mode or across the nation via Infrastructure Mode. Additionally, sports fanatics can utilize the new online news service to get the latest MLB news feeds online or save them to the Memory Stick Duo and review them offline at their convenience. [SCEA]",83,82.0,2006,4257
Anno 2070, PC,2011-11-17,"Developed by Related Designs in collaboration with Blue Byte, Anno 2070 takes place in a near-future environment where climate change has forced humanity to adapt to rising sea levels that have left stretches of once-fertile land completely inhospitable. Players need to master new technologies while facing numerous ecological challenges to build their empires. Anno 2070 offers players the ability to be architects of the future and create the world of tomorrow.",83,71.0,2011,4740
The Yakuza Remastered Collection, PlayStation 4,2019-08-20,"Complete The Dragon of Dojima's Journey Celebrate Kazuma Kiryu's saga with the beautifully remastered Yakuza 3, 4, and 5. With restored content and updated localization in 1080p and 60fps, experience the complete Yakuza collection on one console for the first time in history.",83,77.0,2019,1991
SMITE, PC,2014-03-25,"Players choose from a selection of mythical gods, join session-based arena combat, and use custom powers and team tactics against other player-controlled gods and non-player controlled minions.",83,81.0,2014,1120
Life is Strange 2: Episode 5 - Wolves, PC,2019-12-03,"After a tragic incident, brothers Sean and Daniel Diaz run away from home. Fearing the police, and dealing with Daniel’s new telekinetic power, the boys head to Mexico. Each stop on their journey brings new friends and new challenges.",83,59.0,2019,3596
Astro's Playroom, PlayStation 5,2020-11-12,"Astro and his crew lead you on a magical introduction through PS5 in this fun platformer that comes pre-loaded on PS5. Explore four worlds, each based on PS5’s console components. Each area showcases innovative gameplay that taps into the new features of the PS5’s DualSense wireless controller.",83,93.0,2020,1061
Alien: Isolation, Switch,2019-12-05,"HOW WILL YOU SURVIVE? Discover the true meaning of fear in Alien: Isolation, a survival horror set in an atmosphere of constant dread and mortal danger. Fifteen years after the events of Alien, Ellen Ripleys daughter, Amanda enters a desperate battle for survival, on a mission to unravel the truth behind her mother's disappearance. As Amanda, you will navigate through an increasingly volatile world as you find yourself confronted on all sides by a panicked, desperate population and an unpredictable, ruthless Alien. Underpowered and underprepared, you must scavenge resources, improvise solutions and use your wits, not just to succeed in your mission, but to simply stay alive. Overcome an ever-present deadly threat Experience persistent fear as a truly dynamic and reactive Alien uses its senses to hunt you down and respond to your every move. Improvise to survive Hack systems, scavenge for vital resources and craft items to deal with each situation. Will you evade your enemies, distract them or face them head on? Explore a world of mystery and betrayal Immerse yourself in the detailed setting of Sevastopol, a decommissioned trading station on the fringes of space. Encounter a rich cast of inhabitants in a world scarred by fear and mistrust. When she left Earth, Ellen Ripley promised her daughter Amanda she would return home for her 11th birthday. Amanda never saw her again. Fifteen years later, Amanda, now a Weyland-Yutani employee, hears that the flight recorder of her mothers ship, the Nostromo, has been recovered at the remote trading station Sevastopol. The temptation for her to finally understand what happened is too much to resist. When the crew arrive at Sevastopol, they find something is desperately wrong. It all seems to be connected to an unknown menace, stalking and killing deep in the shadows. In order to uncover the truth about her mother, Amanda is forced to confront the same terrifying thing that separated them.",83,85.0,2019,4705
Donkey Kong Country Returns 3D, 3DS,2013-05-24,Donkey Kong Country Returns 3D is a portable 3D makeover of the smash-hit Wii game.,83,82.0,2013,2112
Persona 5 Strikers, PlayStation 4,2021-02-19,"The sequel to the international smash-hit Persona 5 (3.2 million copies world-wide) is now available as the series' first action RPG! Featuring an all-new story set up half a year after the events of P5! Travel Japan! Following the events of P5, the Phantom Thieves of Hearts gather once more during their summer break to solve the mystery behind new change of heart cases that are occurring all over Japan! Persona 5 is now an action RPG! The new action battle system makes hitting enemy weak points to activate a 1 More or All-Out Attack, which fans have come to love, even easier! You can even use Baton Pass to play as other characters! In the newly introduced Jails, you can switch controls between characters at any time! Clear the game with style by using different characters in unique situations! New character! Who is this new mysterious girl you meet in the Shibuya of the other world? Find out as she fights alongside you as the newest member of the Phantom Thieves of Hearts!",83,78.0,2021,372
Guacamelee! 2, PlayStation 4,2018-08-21,"Head back to the Mexiverse in this sequel to Guacamelee! Uppercut your way to victory across stunning new hand-crafted levels. Featuring full 4-player co-op, fancy new wrestling moves, sassy new bosses, twice the enemies, and 300% more chickens.",83,80.0,2018,3116
Unreal Championship, Xbox,2002-09-24,"The latest edition to the Unreal universe immerses you in adrenaline-packed multiplayer and single-player frag-fests. Designed specifically for Xbox and the Xbox controller, the game incorporates console-specific features such as joypad-activated special moves, double jump, power-ups, unlockable features, and more to keep gamers glued to their couches with knuckle-whitened tension. You have the choice to either fight through a series of matches in the single-player mode against computer-controlled opponents or play online against human-controlled adversaries.",83,82.0,2002,3840
Halo: Combat Evolved, PC,2003-09-30,"In a desperate attempt to keep a conquering alien race called the Covenant from finding Earth, you--a cybernteically enhanced soldier representing the peak of human military evolution--and a ragtag group of Marines flee to a distant uncharted system where you unexpectedly stumble across Halo, an enormous alien artifact in orbit between a gas giant and its moon. Your objective: Uncover Halo's horrible secret, and destroy mankind's nemesis - the Covenant. [Microsoft]",83,77.0,2003,3598
Ultra Street Fighter IV, PlayStation 3,2014-06-03,"The series evolves to a whole new level with Ultra Street Fighter IV for PlayStation 3, Xbox 360, and PC. Continuing the tradition of excellence the series is known for, five new characters and six new stages have been added for even more fighting mayhem, with rebalanced gameplay and original modes topping off this offering.",83,76.0,2014,1352
ESPN NBA 2K5, PlayStation 2,2004-09-30,"A new momentum based gameplay system that gives gamers a complete difference in control between various types of players. Now a player’s ability and physical makeup will determine how fast they can run up the court on a fast break, how well they can cut to the basket off their opponent, and more, creating a new level of realism and natural team movement. Pioneering a new standard in artificial intelligence, computer-controlled players now have the ability to decide independently how they can best help their team and realistically react based on each human players’ actions. CPU players determine the best way they can help win in accordance with each team’s philosophy and distinct play sets. Beyond the Next Movement, IsoMotion2 improves upon the exciting dribble system of last year. Deftly perform spins, crossovers, and fakes outside the perimeter and now, in the post. Use enhanced IsoMotion2 on the defensive side to contain overaggressive ball-handlers and force turnovers. One of the most innovative features in sports games gets twice as big with over 100 new items, new timed mini games, and multi-player games. New respect level determines which player will answer your call for 24/7 games. [ESPN]",83,74.0,2004,4532
Darksiders II, Xbox 360,2012-08-14,"Awakened by the End of Days, Death, the most feared of the legendary Four Horsemen, embarks on a journey to redeem his brother's name. Become the terrifying force which everyone fears but nothing can escape.",83,82.0,2012,3043
Metro Exodus: Complete Edition, PlayStation 5,2021-06-18,"The year is 2036. A quarter-century after nuclear war devastated the earth, a few thousand survivors still cling to existence beneath the ruins of Moscow, in the tunnels of the Metro. They have struggled against the poisoned elements, fought mutated beasts and paranormal horrors, and suffered the flames of civil war. But now, as Artyom, you must flee the Metro and lead a band of Spartan Rangers on an incredible, continent-spanning journey across post-apocalyptic Russia in search of a new life in the East. Metro Exodus is an epic, story-driven first person shooter from 4A Games that blends deadly combat and stealth with exploration and survival horror in one of the most immersive game worlds ever created. Explore the Russian wilderness across vast, non-linear levels and follow a thrilling story-line that spans an entire year through spring, summer and autumn to the depths of nuclear winter. Inspired by the novels of Dmitry Glukhovsky, Metro Exodus continues Artyom's story in the greatest Metro adventure yet. Features: * Embark on an incredible journey - board the Aurora, a heavily modified steam locomotive, and join a handful of survivors as they search for a new life in the East * Experience Sandbox Survival - a gripping story links together classic Metro gameplay with new huge, non-linear levels * A beautiful, hostile world - discover the post-apocalyptic Russian wilderness, brought to life with stunning day / night cycles and dynamic weather * Deadly combat and stealth scavenge and craft in the field to customize your arsenal of hand-made weaponry, and engage human and mutant foes in thrilling tactical combat * Your choices determine your comrades' fate - not all your companions will survive the journey; your decisions have consequence in a gripping storyline that offers massive re-playability * The ultimate in atmosphere and immersion - a flickering candle in the darkness; a ragged gasp as your gasmask frosts over; the howl of a mutant on the night wind - Metro will immerse and terrify you like no other game",83,73.0,2021,1959
FAR: Lone Sails, PlayStation 4,2019-04-02,"Traverse a desiccated seabed littered with the remains of a decaying civilization. Keep your vessel going, overcome obstacles, and withstand hazardous weather conditions. Where will this journey take you? Are you the last of your kind?",83,65.0,2019,4866
Valkyria Chronicles 4, PC,2018-09-25,"A Continent Engulfed in the Bitter Flames of War. Commander Claude Wallace and his childhood friends set out to fight in a desperate war, but bone-chilling blizzards, waves of imperial soldiers, and the godlike powers of the Valkyria stand between them and victory.",83,81.0,2018,1454
Overcooked! 2, Xbox One,2018-08-07,"Overcooked returns with a brand-new helping of chaotic cooking action! Journey back to the Onion Kingdom and assemble your team of chefs in classic couch co-op or online play for up to four players. Hold onto your aprons... it's time to save the world (again!) FEATURES: * Online/Local Multiplayer Madness - You'll knead to work together to get the highest score in chaotic local and online multiplayer. * Feast Your Eyes On This - Cook in new kitchens ranging from sushi restaurants, magic schools and mines! * Romaine Calm! - Travel through teleporters, across moving platforms and save time by throwing ingredients across dynamic kitchens that shift and evolve. * Whet Your Appetite! - Cook up a range of new recipes including sushi, cakes, burgers and pizzas.",83,67.0,2018,374
Mega Man Legacy Collection, Switch,2018-05-22,"Mega Man Legacy Collection is a celebration of the 8-bit history of Capcoms iconic Blue Bomber. Featuring faithful reproductions of the series origins with the original six Mega Man games, the Legacy Collection will remind long-time fans and introduce newcomers to what made Mega Man such a popular and iconic character. Mega Man Legacy Collection will feature all six games and more! In addition to the six Mega Man games, Mega Man Legacy Collection features new ways to experience the classic games with the Museum Mode and new Challenge Mode. Challenge Mode remixes gameplay segments from all six games, with plenty of scaling difficulty objectives for experienced players to conquer yet serving as a good starting point for new players, too. Museum Mode contains a comprehensive collection of history, high-res art and original concept pieces a mega treat for any fan of Mega Man and video game history. FEATURES * Six classic games in one Play a piece of video game history with the original six Mega Man games and experience the origins of the classic series. * 8-bit style with HD flair The games retain their retro 8-bit style with an added HD finish, giving a crisp, clean look to the charming, classic sprites. * Challenge remix mode for new and veteran players The robust new Challenge Mode remixes gameplay from all six games for a new type of challenge. It provides both increasingly difficult trials for experienced players and also teaches newcomers to become familiar with the style of the games and tackle some of the trickier areas. * Museum of the era The Museum Mode features a massive repository of history and art collected from the era of the games in this collection. Take a look back at the history of Mega Man with loads of information, high-res art, concept pieces, sketches and more in the Museum. * Developed with an all-new engine Using the newly developed Eclipse Engine, Capcom and Digital Eclipse are able to archive these six pieces of video game history with faithful reproductions of the originals for a new generation of gamers. * Leaderboards and video replays Fans will be able to watch video replays of the top players on the leaderboards, showcasing a whole new generation of Mega Man talent!",83,85.0,2018,4916
FIFA 18, Xbox One,2017-09-26,"Score incredible goals in FIFA 18 as new movement and finishing animations unlock more fluid striking and heading of the ball. All-new crossing controls bring greater options to how you send it into the box. Whipped to the spot, arching deliveries, and pinged crosses to the back-stick will shake up your attacks in the final third. The biggest step in gameplay, FIFA 18 introduces Real Player Motion Technology, an all-new animation system that unlocks the next level of responsiveness and player personality. Now Cristiano Ronaldo and other top players feel and move exactly like they do on the real pitch. From tiki-taka to high press, new Team Styles put the most recognised tactics of the world's best clubs on the pitch in FIFA 18. Enjoy more time and space to read the play through New Player Positioning, while improved tactics give players greater options on the ball as teammates exploit space and make new attacking runs. [Electronic Arts]",83,33.0,2017,438
Final Fantasy X / X-2 HD Remaster, PC,2016-05-12,"Two of the Most Celebrated RPGs of their Generation - Now in Beautiful High Definition! Over 200 hours of gameplay, including the International version content never before released in North America. Relive the fateful journey with fully remastered HD visuals and rearranged music.",83,81.0,2016,2792
Battlefield 3: Back to Karkand, Xbox 360,2011-12-13,"Battlefield 3: Back to Karkand is a massive themed expansion pack featuring four of the most loved maps from Battlefield 2, boldly reimagined for Battlefield 3 with the power and destruction of the Frostbite 2 engine. It also gives you classic weapons and vehicles from Battlefield 2, unique dog tags, and all-new Assignments.",83,69.0,2011,2586
Bloodstained: Ritual of the Night, PlayStation 4,2019-06-18,"You are Miriam, an orphan scarred by an alchemist curse which slowly crystallizes your skin. You must battle your way through a demon-filled castle summoned by Gebel, your old friend whose body has become more crystal than flesh. * Exploration: Bloodstained's story unfolds as you explore Gebel's hellish castle; a sprawling structure that features a variety of locations. As you explore the massive castle you'll find warp gates that will allow you to travel quickly without having to backtrack too much. * RPG Elements: It's not an Igavania without leveling, and Bloodstained will be no exception. In addition to the classic elements everyones come to expect, enemies in Bloodstained will drop a wide variety of items, materials, and magi-crystals necessary to create the items that will get you safely through Gebels castle. * Crafting: As you explore, fight enemies, and complete quests you will gain experience and become more powerful, acquiring a variety of weapons along the way. Enemies will also drop materials you can use to craft new weapons and abilities using Miriam's training in alchemy.",83,84.0,2019,3906
